JSV_Samam_Granular_Table.csv 3.0 2026-02-20 01:56:14
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata,Global_Samam_Num,Arsheyam_Num,Patha_Num,Samam_Num,Arsheyam_Name,Saman_Metadata
1,आग्नेयपाठः,प्रथम खण्डः,1,अग्ना(1) आ(2) या ही वी(2)ता(2)ये । गृ(2)णा(2)नो हव्यादा(1)तये । नीहो(2)ता(1) सत्सी बर्हीषि(1) ॥ १ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,1,0,1,1,॥गौतमस्यपर्कः॥,।। गोतमो गायत्र्यग्निः ।।
1,आग्नेयपाठः,प्रथम खण्डः,1,अग्ना(1) आ(2) या ही वी(2)ता(2)ये । गृ(2)णा(2)नो हव्यादा(1)तये । नीहो(2)ता(1) सत्सी बर्हीषि(1) ॥ १ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,2,0,1,2,॥कश्यपस्यबर्हिषीयम्॥,।। कश्यपो गायत्र्यग्निः ।।
1,आग्नेयपाठः,प्रथम खण्डः,1,अग्ना(1) आ(2) या ही वी(2)ता(2)ये । गृ(2)णा(2)नो हव्यादा(1)तये । नीहो(2)ता(1) सत्सी बर्हीषि(1) ॥ १ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,3,0,1,3,॥गौतमस्यचैवपर्कः॥,।। गोतमो गायत्र्यग्निः ।।
2,आग्नेयपाठः,प्रथम खण्डः,2,त्वा(1)माग्ने यज्ञा(2)नां । हो(1)ता विश्वे(1)षां हितः । देवेभि(1)र्मानूषे(1) जने ॥ २ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,4,0,1,4,॥सौपर्णञ्च॥,।। विश्वमनाः गायत्र्यग्निः ।।
3,आग्नेयपाठः,प्रथम खण्डः,3,अग्निंदूतं(2)वृ(1)णीमहे । हो(2)ता(1)रंविश्वा(2)वे(1)दसं । अस्या(4)यज्ञास्या(1) सुक्रा(1)तुम् ॥ ३ ॥,।। मेधातिथिः काण्वः अग्निः गायत्री।।,5,0,1,5,॥वैश्वमनसञ्चादित्यसामवा॥,"।। (बृहदाग्नेयं, बृहद्वासौरम्) । भरद्वाजो गायत्र्यग्निः ।।"
4,आग्नेयपाठः,प्रथम खण्डः,4,अग्निर्वृ(1)णि(1)जङ्घनात् । द्रविणास्यु(4)र्वीपन्या(2)या । सामी(2)द्धश्शुक्रा(2)आहूतः ॥ ४ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,6,0,1,6,॥श्रौतर्षाणित्रीणि॥,।। त्रयाणां श्रुतर्षिः गायत्र्यग्निः ।।
4,आग्नेयपाठः,प्रथम खण्डः,4,अग्निर्वृ(1)णि(1)जङ्घनात् । द्रविणास्यु(4)र्वीपन्या(2)या । सामी(2)द्धश्शुक्रा(2)आहूतः ॥ ४ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,7,0,1,7,॥श्रौतर्षाणित्रीणि॥,।। त्रयाणां श्रुतर्षिः गायत्र्यग्निः ।।
4,आग्नेयपाठः,प्रथम खण्डः,4,अग्निर्वृ(1)णि(1)जङ्घनात् । द्रविणास्यु(4)र्वीपन्या(2)या । सामी(2)द्धश्शुक्रा(2)आहूतः ॥ ४ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,8,0,1,8,॥श्रौतर्षाणित्रीणि॥,।। त्रयाणां श्रुतर्षिः गायत्र्यग्निः ।।
5,आग्नेयपाठः,प्रथम खण्डः,5,प्रेष्ठं(3)वोआतीथिं । स्तू(2) षे(2) मित्रामीवाप्रीयं । अ(2)ग्ने राथन्ना(2)वेद्यम् ॥ ५ ॥,।। उशनाः अग्निः गायत्री।।,9,0,1,9,॥औशनञ्च॥,।। उशना विराड्गात्र्यग्निः ।।
5,आग्नेयपाठः,प्रथम खण्डः,5,प्रेष्ठं(3)वोआतीथिं । स्तू(2) षे(2) मित्रामीवाप्रीयं । अ(2)ग्ने राथन्ना(2)वेद्यम् ॥ ५ ॥,।। उशनाः अग्निः गायत्री।।,10,0,1,10,॥शैरीषेच॥,।। शिरीषो उशना गायत्र्यग्निः ।। ।। उशना विराड्गात्र्यग्निः ।।
5,आग्नेयपाठः,प्रथम खण्डः,5,प्रेष्ठं(3)वोआतीथिं । स्तू(2) षे(2) मित्रामीवाप्रीयं । अ(2)ग्ने राथन्ना(2)वेद्यम् ॥ ५ ॥,।। उशनाः अग्निः गायत्री।।,11,0,1,11,॥शैरीषेच॥,।। शिरीषो उशना गायत्र्यग्निः ।। ।। उशना विराड्गात्र्यग्निः ।।
6,आग्नेयपाठः,प्रथम खण्डः,6,त्वन्नोआग्नेमा(2)हो(1)भिः । पाही विश्वा(1)स्याआ(2)रा(1)तेः । ऊत(2)द्वीषो मर्क्त्या(1)स्या ॥ ६ ॥,।। सुदीतिपुरुमीढा वांगिरसौ तयोर्वाऽन्यतरः अग्निः गायत्री।।,12,0,1,12,॥इन्द्रस्यसंवर्गौवात्रघ्नेद्वे॥,।। (संवर्गः) साकमश्वः गायत्र्यग्निः ।।
6,आग्नेयपाठः,प्रथम खण्डः,6,त्वन्नोआग्नेमा(2)हो(1)भिः । पाही विश्वा(1)स्याआ(2)रा(1)तेः । ऊत(2)द्वीषो मर्क्त्या(1)स्या ॥ ६ ॥,।। सुदीतिपुरुमीढा वांगिरसौ तयोर्वाऽन्यतरः अग्निः गायत्री।।,13,0,1,13,॥इन्द्रस्यसंवर्गौवात्रघ्नेद्वे॥,।। (संवर्गः) साकमश्वः गायत्र्यग्निः ।।
7,आग्नेयपाठः,प्रथम खण्डः,7,एह्यू(2)षुब्रा(2)वा(1)णिते । अग्नाइत्थे(4)ता(1)रा(1)गीराः । ए(2)भिर्वार्धा(1)साइ(2)न्दू(1)भिः ॥ ७ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,14,0,1,14,॥साकमश्वस्यशौनःशेपेःसामनी द्वे॥,।। वत्सः गायत्र्यग्निः ।। ।। शौनश्शेपः गायत्र्यग्निः ।।
7,आग्नेयपाठः,प्रथम खण्डः,7,एह्यू(2)षुब्रा(2)वा(1)णिते । अग्नाइत्थे(4)ता(1)रा(1)गीराः । ए(2)भिर्वार्धा(1)साइ(2)न्दू(1)भिः ॥ ७ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,15,0,1,15,॥साकमश्वस्यशौनःशेपेःसामनी द्वे॥,।। वत्सः गायत्र्यग्निः ।। ।। शौनश्शेपः गायत्र्यग्निः ।।
8,आग्नेयपाठः,प्रथम खण्डः,8,आ(3)तेवात्सो(2)मानो यमात् । परामा(4)ञ्चित्साधास्थात् । अ(2) ग्ने(2) त्वांकामयो गी(2)रा(1) ॥ ८ ॥,।। वत्सः काण्वः अग्निः गायत्री।।,16,0,1,16,॥वत्सस्यकाण्वस्यसामनीद्वे॥,।। वत्सो गायत्र्यग्निः ।। ।। कण्वः गायत्र्यग्निः ।।
8,आग्नेयपाठः,प्रथम खण्डः,8,आ(3)तेवात्सो(2)मानो यमात् । परामा(4)ञ्चित्साधास्थात् । अ(2) ग्ने(2) त्वांकामयो गी(2)रा(1) ॥ ८ ॥,।। वत्सः काण्वः अग्निः गायत्री।।,17,0,1,17,॥वत्सस्यकाण्वस्यसामनीद्वे॥,।। वत्सो गायत्र्यग्निः ।। ।। कण्वः गायत्र्यग्निः ।।
9,आग्नेयपाठः,प्रथम खण्डः,9,त्वामाग्ने पु(4)ष्काराद(2)धी(1) । आ(3)थ(1)र्वाणीरा(1)मन्धत । मूर्ध्नो(2) विश्वास्यावाघा(2)ता(1)ः ॥ ९ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,18,0,1,18,॥अग्नेश्चवैश्वानरस्यार्षेयम्॥,।। अग्निः गायत्र्यग्निः ।।
10,आग्नेयपाठः,प्रथम खण्डः,10,अग्नेवी(3)वा(2)स्वादा(2) भारा । अस्मभ्यामू(2)ता(4)ये(1) माहे(2) । देवो ह्यासी(1) नोदृशे ॥ १० ॥,।। वामदेवः अग्निः गायत्री।।,19,0,1,19,॥सुमित्रस्यचवार्द्धश्वेस्साम॥,।। (वध्यश्वोऽनूपो वा) वाध्यश्वः। गायत्र्यग्निः ।।
11,आग्नेयपाठः,द्वितीय खण्डः,1,नामास्ते(2)अग्ना(2)ओज(1)से । गृणन्तीदे(2)वा(1)कृष्टायाः । आमै(2)रामित्रा(2)मर्दया ॥ १ ॥,।। आयुन्ङ्क्श्वाहि(ऋ विरूपांगिरसः)ः अग्निः गायत्री।।,20,0,1,1,॥अग्नेश्चसंवर्गः॥,।। सांवर्गः। अग्निः गायत्र्यग्निः ।।
12,आग्नेयपाठः,द्वितीय खण्डः,2,दूतंवो(1)विश्वावे(1)दसम् । हव्यावाहामामा(2)र्क्त्यम्(1)। याजीष्ठमृन्जसे(2)गीरा ॥ २ ॥,।। वामदेवो गौतमः अग्निः गायत्री।।,21,0,1,2,॥वैश्वमनसञ्च॥,।। विश्वमनाः गायत्र्यग्निः ।।
13,आग्नेयपाठः,द्वितीय खण्डः,3,ऊपात्वा जामायो(2)गीरा(1)ः। देदीशतिर्हा(1)विष्कृताः । वायोरा(1)नीकेअस्थिरन् ॥ ३ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,22,0,1,3,॥श्नाभाश्नौष्टेद्वे॥,।। श्नाभो गायत्र्यग्निः ।। ।। श्नौष्टम्। श्नुष्टो गायत्र्यग्निः ।।
13,आग्नेयपाठः,द्वितीय खण्डः,3,ऊपात्वा जामायो(2)गीरा(1)ः। देदीशतिर्हा(1)विष्कृताः । वायोरा(1)नीकेअस्थिरन् ॥ ३ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,23,0,1,4,॥श्नाभाश्नौष्टेद्वे॥,।। श्नाभो गायत्र्यग्निः ।। ।। श्नौष्टम्। श्नुष्टो गायत्र्यग्निः ।।
14,आग्नेयपाठः,द्वितीय खण्डः,4,ऊ(1)पात्वाग्ने दीवे(2)दीवे । दो(2)षा(1)वस्तार्धीया वायम्(2) । ना(2)मो भा(4)र(1)न्ताएमा(1)सि ॥ ४ ॥,।। मधछु न्दा वैश्वामित्रः अग्निः गायत्री।।,24,0,1,5,॥वैश्वामित्रञ्च॥,।। विश्वामित्रो गायत्र्यग्निः ।।
15,आग्नेयपाठः,द्वितीय खण्डः,5,जरा(1)बोधाताव्दीविड्ढी । वीशेवी(2)शेय(1)ज्ञीयाया । स्तो(3)मंरुद्रायादृशीक(2)म् ॥ ५ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।,25,0,1,6,॥अग्नेश्चजराबोधीये॥,।। द्वयोरग्निर्गायत्री रुद्रः ।।
15,आग्नेयपाठः,द्वितीय खण्डः,5,जरा(1)बोधाताव्दीविड्ढी । वीशेवी(2)शेय(1)ज्ञीयाया । स्तो(3)मंरुद्रायादृशीक(2)म् ॥ ५ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।,26,0,1,7,॥अग्नेश्चजराबोधीये॥,।। द्वयोरग्निर्गायत्री रुद्रः ।।
16,आग्नेयपाठः,द्वितीय खण्डः,6,प्रातित्यञ्चा(2)रुमाध्वारं(2) । गो(3)पी(1)था(2)यप्रा(2)हू(1)यसे । मा(2)रुद्भीरग्नाआग(1)हि ॥ ६ ॥,।। मेधातिथिः अग्निः गायत्री।।,27,0,1,8,॥मारूतञ्च॥ मरुतो गायत्र्यग्निः ।।,।। मरुतो गायत्र्यग्निः ।।
17,आग्नेयपाठः,द्वितीय खण्डः,7,अ(1)श्वन्न(2)त्वा वारा(1) व(2)न्तम् । व(3)न्द(4)ध्याआग्नि(2) न्नामोभिः । स(2)म्म्रा(2)जन्तमाध्वाराणा(1)म् ॥ ७ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।,28,0,1,9,॥भार्गवेच॥,।। वारवन्तीयम्। द्वयोः भृगुः शुनश्शेपो वा गायत्र्यग्निः ।।
17,आग्नेयपाठः,द्वितीय खण्डः,7,अ(1)श्वन्न(2)त्वा वारा(1) व(2)न्तम् । व(3)न्द(4)ध्याआग्नि(2) न्नामोभिः । स(2)म्म्रा(2)जन्तमाध्वाराणा(1)म् ॥ ७ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।,29,0,1,10,॥भार्गवेच॥,।। वारवन्तीयम्। द्वयोः भृगुः शुनश्शेपो वा गायत्र्यग्निः ।।
17,आग्नेयपाठः,द्वितीय खण्डः,7,अ(1)श्वन्न(2)त्वा वारा(1) व(2)न्तम् । व(3)न्द(4)ध्याआग्नि(2) न्नामोभिः । स(2)म्म्रा(2)जन्तमाध्वाराणा(1)म् ॥ ७ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।,30,0,1,11,॥अग्नेश्चवारवन्तीयम्॥,
18,आग्नेयपाठः,द्वितीय खण्डः,8,और्वा(2)भृगूवच्छूचिम् । आप्नावा(2)नावादाहु(1)वे । अग्निं(4)सामुद्रावाससम् ॥ ८ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,31,0,1,12,॥और्वस्यवैधारेस्सामनीद्वे॥,।। समुद्रस्य वासो वा । और्वः द्वयोरग्निः गायत्र्यग्निः ।।
18,आग्नेयपाठः,द्वितीय खण्डः,8,और्वा(2)भृगूवच्छूचिम् । आप्नावा(2)नावादाहु(1)वे । अग्निं(4)सामुद्रावाससम् ॥ ८ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,32,0,1,13,॥और्वस्यवैधारेस्सामनीद्वे॥,।। समुद्रस्य वासो वा । और्वः द्वयोरग्निः गायत्र्यग्निः ।।
19,आग्नेयपाठः,द्वितीय खण्डः,9,अ(2)ग्नी(2)मिन्धानो(1) माना(1)सा। धी(1)यं सचेतामा(2)र्त्या(1)ः । अ(2)ग्नी(2)मिन्धे वीवा(2)स्वा(1)भिः ॥ ९ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,33,0,1,14,॥अत्रेश्चासङ्गम्॥,।। आसंगः अत्रिः गायत्र्यग्निः ।।
20,आग्नेयपाठः,द्वितीय खण्डः,10,आदी(2)त्प्रत्ना(2)स्यारे(2)ता(1)सः । ज्योतिः पश्यन्ती वासा(2)रम् । पा(2)रोयातिध्या(4)ते दीवि(2) ॥ १० ॥,।। वत्सः काण्वः अग्निः गायत्री।।,34,0,1,15,॥प्रजापतेश्चनिधनकामम्॥,।। प्रजापतिर्गायत्र्यग्निः ।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा(2)स्वते ॥ १ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,35,0,1,1,॥सैन्धुक्षितानित्रीणि॥,।। त्रयाणां सिन्धुक्षिगायत्र्यग्निः।। (स्वारं सैन्धुक्षितम्) ।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा(2)स्वते ॥ १ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,36,0,1,2,॥सैन्धुक्षितानित्रीणि॥,।। त्रयाणां सिन्धुक्षिगायत्र्यग्निः।। (स्वारं सैन्धुक्षितम्) ।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा(2)स्वते ॥ १ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।,37,0,1,3,॥सैन्धुक्षितानित्रीणि॥,।। त्रयाणां सिन्धुक्षिगायत्र्यग्निः।। (स्वारं सैन्धुक्षितम्) ।।
22,आग्नेयपाठः,तृतीय खण्डः,2,अग्निस्तिग्मे(4)ना(1)शोचीषा(1) । यंसद्वि(2)श्वंन्या टट्य त्रीणं । अ(2)ग्नि(2)र्नो(1)वंसतेरायिम्(3) ॥ २ ॥,।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,38,0,1,4,॥अग्नेर्हरसीद्वे॥,।। द्वयोरग्निर्गायत्र्यग्निः ।।
22,आग्नेयपाठः,तृतीय खण्डः,2,अग्निस्तिग्मे(4)ना(1)शोचीषा(1) । यंसद्वि(2)श्वंन्या टट्य त्रीणं । अ(2)ग्नि(2)र्नो(1)वंसतेरायिम्(3) ॥ २ ॥,।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री।।,39,0,1,5,॥अग्नेर्हरसीद्वे॥,।। द्वयोरग्निर्गायत्र्यग्निः ।।
